title,text,score,subject,predicate,object,label
Secondo dopoguerra in Italia,"L'appoggio della Confindustria, soddisfatta dall'allontanamento dal governo di socialisti e comunisti, e l'arrivo di investimenti dall'estero, fecero sì che la produzione del 1948 tornasse ai livelli del 1938.",0.8,la produzione di il 1948,tornasse a,i livelli di il 1938,1
Grotte Cango,Altri 90 metri furono scoperti nel giugno del 1978.,1.0666667,Altri 90 metri,furono scoperti in,il giugno di il 1978,1
Episodi de Il restauratore (prima stagione),"Basilio vuole lasciare il lavoro, e lo dice a Maddalena, ma ha un'altra visione, e vede un ragazzo che cade da un palazzo in costruzione.",4.0,Basilio,vuole lasciare,il lavoro,1
Pierre Adolphe Piorry,"Piorry condusse i suoi esperimenti sia su soggetti vivi che morti, sviluppando la tecnica per delineare gli organi nel torace e nell'addome, che egli definì ""organografismo"".",3.6666667,Piorry,condusse,i suoi esperimenti,1
Lanterna di Fresnel,"Visto che la dimensione del fuoco può modificare la dimensione del fascio luminoso, la dispersione della luce che la lente di Fresnel emette, richiede un sistema per controllare la sua forma.",1.1,la dimensione di il fuoco,può modificare,la dimensione di il fascio luminoso,1
Gran Premio Città di Camaiore 2011,Al traguardo 71 ciclisti portarono a termine il percorso.,1.6,A il traguardo 71 ciclisti,portarono a,termine il percorso,1
Lloyd Lonergan,Fu anche regista e il suo nome è legato a nove film che potrebbe aver diretto (alcuni di questi non sono confermati).,1.6666667,il suo nome,è legato a,nove film,1
Evgenij Rodionov,Anche gli altri ostaggi fecero una brutta fine:,1.3333334,gli altri ostaggi,fecero,una brutta fine,1
Barriera di sangue,"Nonostante il comandante sia suo padre, Alan viene condannato a morte.",5.0,Alan,viene condannato a,morte,1
Assedio di Eretria,"La prima guerra persiana aveva le sue origini nella rivolta ionia, durante la quale gli Eretriesi e gli Ateniesi avevano appoggiato coll'invio di 25 navi le città della Ionia che avevano tentato di ribellarsi al dominio persiano.",0.92857146,La prima guerra persiana,aveva,le sue origini in la rivolta ionia,1
Monte San Silvestro,"Al suo fianco sorge la grotta di San Silvestro, dove sgorga una piccola sorgente;",1.7,A il suo fianco,sorge,la grotta di San Silvestro,1
Storia del Real Madrid Club de Fútbol,il Madrid sconfisse l'Athletic di Bilbao per 1-0 mentre i colchoneros furono sconfitti dal Valencia per 3-1.,1.75,i colchoneros,furono sconfitti da,il Valencia per 3,1
Jon Brion,Brion ebbe difficoltà all'Hamden High School e all'età di 17 scelse di dedicarsi alla carriera di musicista.,4.3333335,Brion,ebbe,difficoltà a l' Hamden High School,1
Chiesa di San Bernardino degli Osservanti,"L'alzata dell'altare è dipinta con due colonne che sorreggono una trabeazione con un elaborato fregio apicale composto da pastorale, croce papale e tiara.",1.6,L' alzata di l' altare,è dipinta con,due colonne,1
Nathaniel Buzolic,"Successivamente, Buzolic frequenterà l'Australian Theatre for Young People (ATYP) di Sydney dal 1998 al 2001 per poi diplomarsi alla ""Screenwise Acting School for Film and Television"" nel 2004 e alla ""University of Western Sydney"" (UWS) nel 2007 con una laurea in marketing.",4.5,Buzolic,frequenterà,l' Australian Theatre for Young People,1
Peeta Mellark,"Katniss attraversa una fase di depressione profonda, dalla quale sarà proprio Peeta a farla uscire, standole vicino.",3.6,Katniss,attraversa,una fase di depressione profonda,1
Incidente ferroviario di Contigliano,Entrambi i mezzi ferroviari subirono danni profondi;,1.5,Entrambi i mezzi ferroviari,subirono,danni profondi,1
Bond of Silence,"Ryan viene condannato a cinque anni di reclusione e, una volta uscito, assieme a Katy iniziano a girare i licei per raccontare ai giovani i pericoli che si annidano dietro al consumo esagerato di alcolici.",3.75,Ryan,viene condannato a,cinque anni di reclusione,1
Jimmy White,"Al 2020, questa fu l'ultima annata in cui White disputò la fase finale del Mondiale e del Masters.",3.5,White,disputò,la fase finale di il Mondiale,1
Beautiful Boxer,"Il film è basato sulla storia vera di Parinya Charoenphol, meglio nota come Nong Thoom, una famosa boxeur transessuale thailandese, poi anche attrice e modella.",2.0,Il film,è basato su,la storia vera di Parinya Charoenphol,1
Assignment Foreign Legion,La serie fu prodotta da Bartley Productions e Intel Films e girata nei Beaconsfield Studios a Beaconsfield in Inghilterra e in Algeria e Marocco.,3.5,La serie,fu prodotta da,Bartley Productions,1
Francesco Fransoni,"Nel maggio del 1943, Fransoni fu sostituito a Lisbona da Renato Prunas.",4.75,Fransoni,fu sostituito a,Lisbona da Renato Prunas,1
Biblioteche del Vicino Oriente antico,"I fiumi della Mesopotamia non avevano tale pianta, ma la loro terra conteneva ottima argilla e di conseguenza le tavolette fatte di questo materiale ne divennero strumento di scrittura.",1.6666667,la loro terra,conteneva,ottima argilla,1
Cadillac Fleetwood,Il pacchetto Brougham comprendeva il tettuccio in vinile e dei sedili specifici.,2.0833335,Il pacchetto Brougham,comprendeva,il tettuccio in vinile,1
Kurtley Beale,"Nella stagione 2012 Beale fu ai Melbourne Rebels, formazione per cui aveva firmato ad aprile 2011.",2.4666667,In la stagione 2012 Beale,fu a,i Melbourne Rebels,1
All-Ireland Senior Football Championship 1986,"Kerry batté in finale Tyrone ottenendo la terza vittoria consecutiva, ma l'ultima fino al 1997.",1.5,Kerry batté in finale Tyrone,ottenendo,la terza vittoria consecutiva,1
Banda Bonnot,La sentenza venne emessa il 27 Febbraio.,2.0,La sentenza,venne emessa,il 27 Febbraio,1
Ascesa al monte Ventoso,In realtà il poeta è in grave crisi spirituale e il suo cammino è impedito perché il suo animo è occupato dalla passione e dall'attaccamento ai beni mondani anziché rivolto interamente a Dio e alle cose spirituali.,1.6666667,il suo animo,è occupato da,la passione,1
Tempio di Debod,La sua inaugurazione ebbe luogo il 18 luglio 1972.,1.2666667,La sua inaugurazione,ebbe,luogo il 18 luglio 1972,1
